N Am
Urban Expansion Rates
regional_all_location
1970 Mean,3.358271179161257
1970 Median,3.353088087503659
1980 Mean,3.335569641948915
1980 Median,3.309764767285772
1990 Mean,3.343292599572037
1990 Median,3.345720125532114
2000 Mean,2.655854404668545
2000 Median,2.658556158198863
CS Am
Urban Expansion Rates
regional_all_location
1970 Mean,2.876355146202934
1970 Median,2.832396203220238
1980 Mean,2.599313210461882
1980 Median,2.595812340276785
1990 Mean,2.968900132199820
1990 Median,2.947532980468333
2000 Mean,2.320496722519125
2000 Median,2.272171733796875
Europe
Urban Expansion Rates
regional_all_location
1970 Mean,2.358410869901297
1970 Median,2.328757592907407
1980 Mean,2.139347260786551
1980 Median,2.125870246255747
1990 Mean,1.352323421917434
1990 Median,1.354846101973684
2000 Mean,2.649621705399620
2000 Median,2.654978158855000
Africa
Urban Expansion Rates
regional_all_location
1970 Mean,4.705878256336734
1970 Median,4.694327361833333
1980 Mean,4.549977094150865
1980 Median,4.528510023490885
1990 Mean,4.179821155387071
1990 Median,4.173047342664141
2000 Mean,5.562396688300871
2000 Median,5.529470234319048
SW Asia
Urban Expansion Rates
regional_all_location
1970 Mean,4.608431052432904
1970 Median,4.609203833113378
1980 Mean,4.106163601784037
1980 Median,4.109221477308530
1990 Mean,4.160521088689165
1990 Median,4.130851880108587
2000 Mean,3.029389603433260
2000 Median,3.047085120175325
SC Asia
Urban Expansion Rates
regional_all_location
1970 Mean,4.551300962186249
1970 Median,4.542513169250000
1980 Mean,4.304829316157050
1980 Median,4.285797823075000
1990 Mean,3.687164866248399
1990 Median,3.699418889800000
2000 Mean,4.187070815023801
2000 Median,4.173353281700000
India
Urban Expansion Rates
regional_all_location
1970 Mean,5.386774989509146
1970 Median,5.389580736903396
1980 Mean,5.388038925639613
1980 Median,5.381007668135185
1990 Mean,5.240332057580727
1990 Median,5.236139220854475
2000 Mean,5.393025267563598
2000 Median,5.383577095066503
China
Urban Expansion Rates
regional_all_location
1970 Mean,7.031082312688905
1970 Median,7.006060022271821
1980 Mean,7.364641838769816
1980 Median,7.344301038878748
1990 Mean,6.122745384061361
1990 Median,6.129017513651595
2000 Mean,5.558114581075773
2000 Median,5.517752763719614
E Asia
Urban Expansion Rates
regional_all_location
1970 Mean,0.874575137768667
1970 Median,0.850598855222222
1980 Mean,1.020699452425667
1980 Median,1.013638496500000
1990 Mean,0.933454874546250
1990 Median,0.932877254166667
2000 Mean,0.458886702441600
2000 Median,0.461801490300000
SE Asia
Urban Expansion Rates
regional_all_location
1970 Mean,2.937725181942474
1970 Median,2.926373075517544
1980 Mean,2.964870366990974
1980 Median,2.954316569574561
1990 Mean,3.313934985317625
1990 Median,3.253786606045834
2000 Mean,2.607117548563125
2000 Median,2.597589651515625
N Am
Population Density
regional_all_location
1970 Mean,3.734186330301144
1970 Median,3.712026861439025
1980 Mean,3.015030460286593
1980 Median,3.005201347236504
1990 Mean,2.533732264935273
1990 Median,2.516634786232927
2000 Mean,2.309657837750967
2000 Median,2.278964912910244
2010 Mean,1.907575526672880
2010 Median,1.871012426642045
CS Am
Population Density
regional_all_location
1970 Mean,9.017017093012047
1970 Median,8.941192941272977
1980 Mean,9.696876678180072
1980 Median,9.629490902655359
1990 Mean,10.662674020223667
1990 Median,10.524630494196664
2000 Mean,9.644184442544777
2000 Median,9.607147745197221
2010 Mean,10.072245512083377
2010 Median,10.026846456722918
Europe
Population Density
regional_all_location
1970 Mean,8.255604202113430
1970 Median,8.183001097180558
1980 Mean,6.707381014585809
1980 Median,6.631814695288505
1990 Mean,4.801596560601596
1990 Median,4.749042628890570
2000 Mean,4.333223535216183
2000 Median,4.311755663142543
2010 Mean,2.856877826358948
2010 Median,2.760545415366000
Africa
Population Density
regional_all_location
1970 Mean,15.145572563352955
1970 Median,15.100972889869793
1980 Mean,13.936495674859103
1980 Median,13.902657650139325
1990 Mean,15.555407220938804
1990 Median,15.158474794204544
2000 Mean,12.951632672572915
2000 Median,12.794565686050507
2010 Mean,11.318495106610658
2010 Median,11.226315785233334
SW Asia
Population Density
regional_all_location
1970 Mean,11.063170175930646
1970 Median,10.771742318186849
1980 Mean,11.146668788092601
1980 Median,11.017666675279761
1990 Mean,10.326029218227021
1990 Median,10.353683582227273
2000 Mean,8.619114011686438
2000 Median,8.513422155912121
2010 Mean,11.874375124737512
2010 Median,11.707696202910604
SC Asia
Population Density
regional_all_location
1970 Mean,10.899308035305319
1970 Median,10.779296284025001
1980 Mean,11.679632148800101
1980 Median,11.533680789900000
1990 Mean,12.878228640095651
1990 Median,12.533765425900000
2000 Mean,11.503078853858749
2000 Median,11.338740254075001
2010 Mean,17.280275188403298
2010 Median,16.600840074800001
India
Population Density
regional_all_location
1970 Mean,20.451009549908445
1970 Median,20.438523865449078
1980 Mean,17.622472363861089
1980 Median,17.577777004653392
1990 Mean,16.135513724615617
1990 Median,15.989810599561418
2000 Mean,13.346760167953777
2000 Median,13.241699157811111
2010 Mean,10.523184385537276
2010 Median,10.460225669493138
China
Population Density
regional_all_location
1970 Mean,16.183054214198926
1970 Median,16.092839317272123
1980 Mean,9.636760432330037
1980 Median,9.521740271249694
1990 Mean,7.350678661022052
1990 Median,7.303298603523474
2000 Mean,8.481551142627259
2000 Median,8.399372410091321
2010 Mean,6.538930466010532
2010 Median,6.485943382120386
E Asia
Population Density
regional_all_location
1970 Mean,10.407296674333697
1970 Median,10.071755931097224
1980 Mean,14.097505118254499
1980 Median,13.887705044999999
1990 Mean,15.345098521627357
1990 Median,15.076190933785716
2000 Mean,16.602854559117695
