UrbanAgg,Country,Region,OID,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,PopR7080,PopR8090,PopR9000,PopR0010,Area1970,Area1980,Area1990,Area2000,Area2010,ArR7080,ArR8090,ArR9000,ArR0010,PD1970,PD1980,PD1990,PD2000,PD2010,Authors,Journal,Year
Abu Zaby (Abu Dhabi),United Arab Emirates,SW Asia,589,62,229,331,505,879,13.95788472,3.75266268,4.314898167,5.698725261,3607.810139,3864.218662,4138.850242,4433,4745.832644,0.688947657,0.688947657,0.688947658,0.684233646,17.18493979,59.26165676,79.97390112,113.9183397,185.2151279,"Lazzarini, M, Molini, A, Marpu, PR, Ouarda, TBMJ, & H Ghedira",Geophysical Research Letters,2015
Abuja,Nigeria,Africa,0,48,125,330,833,1814,10.04412906,10.19462028,9.701636459,8.093412608,12.49498914,22.32212594,39.37365134,68.13676774,108.9585392,5.974156161,5.839313372,5.637370824,4.806441219,3841.539954,5599.82505,8381.239453,12225.41115,16648.53451,"Mahmoud, MI, Duker, A, Conrad, C, Thiel, M, & HS Ahmad",Remote Sensing,2016
Abuja,Nigeria,Africa,1,48,125,330,833,1814,10.04412906,10.19462028,9.701636459,8.093412608,32.4461623,46.55869446,66.557675,94.312349,478.028661,3.677316026,3.638169785,3.5468858,17.62199397,1479.373726,2684.783185,4958.105883,8832.353439,3794.751545,"Zubair, OA, Ojigi, LM, & RA Mbih",Journal of Sustainable Development,2015
Accra,Ghana,Africa,2,631,863,1197,1668,2060,3.180622489,3.325695074,3.373730602,2.133241891,48.449345,95.153475,182.932499,344.26, ,6.982729566,6.754605842,6.526968866, ,13023.91188,9069.558416,6543.39719,4845.175158, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Adana,Turkey,SW Asia,590,402,568,907,1123,1558,3.517131319,4.791460955,2.159144386,3.328177578,23.180884,37.398793,59.551789,94.0023, ,4.899340847,4.76198595,4.67051638, ,17341.87531,15187.65592,15230.44085,11946.5162, ,"Alphan, H",Land Degradation & Development,2003
Addis Ababa,Ethiopia,Africa,3,729,1175,1791,2377,3126,4.88926299,4.305154793,2.871094273,2.777010049,53.297758,69.899778,91.411096,119.03, ,2.748782758,2.719361687,2.675245929, ,13677.87365,16809.78157,19592.80742,19969.75552, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Agra,India,India,372,624,739,933,1293,1714,1.705861973,2.358454651,3.316976442,2.858746934,29.589089,56.313817,107.176196,198.494891,361.941988,6.646924841,6.646924898,6.356760176,6.191306345,21088.85475,13122.88954,8705.291238,6514.021562,4735.565524,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Ahmedabad,India,India,373,1695,2484,3255,4427,6210,3.895847221,2.7400896,3.123074586,3.442309401,69.173202,124.239945,223.143697,391.793269,679.047507,6.030872984,6.030873049,5.790637603,5.653604679,24503.70882,19993.5697,14587.01296,11299.32633,9145.162799,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Ahmedabad,India,India,374,1695,2484,3255,4427,6210,3.895847221,2.7400896,3.123074586,3.442309401,126.540439,151.507213,181.4,216.5, ,1.817023606,1.817023625,1.784597079, ,13394.92745,16395.25902,17943.77067,20448.03695, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Ahvaz,Iran (Islamic Republic of),SC Asia,545,246,410,685,868,1077,5.240977915,5.266618317,2.395982008,2.180870407,77.843609,110.628028,157.032323,220.52, ,3.577212943,3.564851894,3.45366787, ,3160.18236,3706.113246,4362.159248,3936.150916, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Ajman,United Arab Emirates,SW Asia,591,5,31,72,147,254,20.01600576,8.792029932,7.398566294,5.621331532,1.988152,3.810738,7.304131,14,25.78822,6.72249029,6.722489226,6.722489693,6.299037727,2514.898257,8134.907202,9857.43547,10500,9849.458396,"Elmahdy, SI & MM Mohamed",Arabian Journal of Geosciences,2016
Ajmer,India,India,375,262,367,401,484,547,3.427607177,0.889932353,1.899041503,1.231156048,3.507312,5.586321,8.727783,11.39, ,4.764742198,4.562944676,2.697998215, ,74701.08163,65696.18896,45945.23031,42493.41528, ,"Jat, MK, Garg, PK, & D Khare",Internatonal Journal of Applied Earth Observation and Geoinformation,2008
Ajmer,India,India,376,262,367,401,484,547,3.427607177,0.889932353,1.899041503,1.231156048, , ,11.069298,23.6673,44.595011, , ,7.895383659,6.540260898, , ,36226.32619,20450.15697,12265.94607,"Saxena, A, Jat, MK, & M Choudhary",International Journal of Earth Sciences and Engineering,2016
Al-Ain,United Arab Emirates,SW Asia,592,16,96,169,273,396,19.62311989,5.818486876,4.912586511,3.789460358,78.852333,108.283618,148.7,202.22, ,3.222606435,3.222606426,3.121996771, ,202.9109272,886.5606984,1136.516476,1350.014835, ,"Yagoub, MM",International Journal of Remote Sensing,2004
Al-Iskandariyah (Alexandria),Egypt,Africa,5,1987,2521,3056,3546,4333,2.408852028,1.94315034,1.498246211,2.024622325,167.133285,202.685375,245.8,297, ,1.947351187,1.94735124,1.910153814, ,11888.71505,12437.99657,12432.87225,11939.39394, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Al-Iskandariyah (Alexandria),Egypt,Africa,6,1987,2521,3056,3546,4333,2.408852028,1.94315034,1.498246211,2.024622325,69.725789,98.731565,138.826255,194.292421, ,3.539546481,3.466928933,3.418545427, ,28497.34694,25533.88068,22013.12713,18250.84057, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Al-Khartum (Khartoum),Sudan,Africa,7,657,1164,2360,3505,4517,5.886053291,7.323765646,4.034552146,2.569020183,152.19251,338.458502,432.890289,551.35,702.226014,8.320639378,2.491356589,2.448346547,2.448346535,4316.901009,3439.121763,5451.727747,6357.123424,6432.401976,"Schumacher, J, Luedeling, E, Gebauer, J, Saied, A, El-Siddig, K, & A Buerkert",Journal of Arid Environments,2012
Allahabad,India,India,377,506,640,830,1035,1205,2.377128861,2.633658904,2.231851372,1.532404127,42.457024,71.103497,119.078231,195.923004,319.11347,5.291700834,5.291700888,5.105466875,4.999195261,11917.93377,9000.963764,6970.207678,5282.687479,3776.086293,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Al-Qahirah (Cairo),Egypt,Africa,14,5585,7349,9892,13626,16899,2.782814785,3.016214276,3.254366784,2.176085938,443.593694,601.106682,814.55,1093.936073,1469.15,3.085271527,3.085271536,2.992931468,2.992931473,12590.3503,12225.78324,12144.12866,12455.93809,11502.56951,"Abutaleb, K & F Ahmed",Arabian Journal of Geosciences,2010
Al-Qahirah (Cairo),Egypt,Africa,11,5585,7349,9892,13626,16899,2.782814785,3.016214276,3.254366784,2.176085938,246.451151,327.21491,366.5,569.65, ,2.87508887,1.140265519,4.508932641, ,22661.69169,22459.24552,26990.4502,23919.95085, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Al-Qahirah (Cairo),Egypt,Africa,12,5585,7349,9892,13626,16899,2.782814785,3.016214276,3.254366784,2.176085938, , , ,424.709032,655, , , ,4.427523855, , , ,32083.14157,25800,"Delgado Blasco, JM, Verstraeten, G, & RF Hanssen",Journal of Cultural Heritage,2016
Al-Qahirah (Cairo),Egypt,Africa,9,5585,7349,9892,13626,16899,2.782814785,3.016214276,3.254366784,2.176085938,211.062961,278.567249,390.98,481.442127,684.526447,2.813892777,3.448083368,2.103106248,3.5820768,26461.29844,26381.42146,25300.52688,28302.46718,24687.13966,"Effat, HA & AOK Hassan",Urban Climate,2010
Al-Qahirah (Cairo),Egypt,Africa,8,5585,7349,9892,13626,16899,2.782814785,3.016214276,3.254366784,2.176085938,186.24594,247.033439,327.660942,434.266789,571.551885,2.864825338,2.864825365,2.856843918,2.785038855,29987.23086,29749.009,30189.74413,31377.02524,29566.86951,"Hou, H, Estoque, RC, & Y Murayama",Journal of African Earth Sciences,2016
Al-Qahirah (Cairo),Egypt,Africa,13,5585,7349,9892,13626,16899,2.782814785,3.016214276,3.254366784,2.176085938,176.249102,274.480914,422.668765,645.986339,1008.16557,4.529415954,4.411611886,4.333149569,4.551640776,31688.10471,26774.17491,23403.6693,21093.32532,16762.12767,"Megahed, Y, Cabral, P, Silva, J, & M Caetano",ISPRS International Journal of Geo-Information,2016
Al-Qahirah (Cairo),Egypt,Africa,10,5585,7349,9892,13626,16899,2.782814785,3.016214276,3.254366784,2.176085938,248.577557,307.001633,348.456,465.419625, ,2.133420527,1.274644212,2.936565658, ,22467.83687,23937.98342,28388.08917,29276.80585, ,"Stewart, DJ, Yin, ZY, Bullard, SM, & JT MacLachlan",Urban Studies,2004
Amman,Jordan,SW Asia,593,388,636,851,1017,1109,5.066082397,2.954952945,1.797975078,0.869776679,26.768233,76.975485,127.958914,158.765424, ,11.14073716,5.213583147,2.180621102, ,14494.79314,8262.370805,6650.57223,6405.676843, ,"Al Rawashdeh, S & B Saleh",Journal of Urban Planning and Development,2006
Amritsar,India,India,378,453,604,726,990,1171,2.918600896,1.856785983,3.150148464,1.693260054,26.04641,50.421649,97.608179,183.615379,339.797131,6.828447558,6.828447397,6.522729052,6.348425725,17392.03215,11978.98149,7437.901285,5391.705234,3446.173888,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Amsterdam,Netherlands,Europe,319,927,941,936,1005,1057,0.15000814,-0.053262442,0.713808998,0.505746254,285.542094,507.695802,902.686622,1488.98461,1985.282468,5.923748929,5.923748966,5.132095352,2.918443585,3246.456545,1853.472092,1036.904699,674.9566068,532.417939,"Nello, O, Lopez, J, Martin, J, & J Checa",Land Use Policy,2017
Ankara,Turkey,SW Asia,594,1341,1891,2561,3179,4166,3.496645808,3.079381724,2.185222508,2.740783605,80.332996,130.254861,211.2,334.9, ,4.951825643,4.951825606,4.718189112, ,16693.01615,14517.69236,12125.94697,9492.385787, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Anqing,China,China,52,99,165,274,437,566,5.240977915,5.202645701,4.778719688,2.620351863,25.945622,38.133751,55.967347,81.091943, ,3.926079425,3.911238091,3.777761477, ,3815.67264,4326.875686,4895.71178,5388.944744, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Anqing,China,China,53,99,165,274,437,566,5.240977915,5.202645701,4.778719688,2.620351863,252.440433,335.158841,444.982,586.194,658.442,2.874840849,2.874840854,2.794503334,1.169036899,392.1717247,492.3038864,615.755244,745.4869889,859.6049462,"Shi, T, Huang, Y, Wang, H, Shi, CE, & YJ Yang",Advances in Climate Change Research,2015
Ansan,Republic of Korea,E Asia,308,51,112,246,540,725,8.184435839,8.186160595,8.17972305,2.989849777, , ,47.45, , , , , , , , ,5184.404636, , ,"Chen, XW",Internatonal Journal of Remote Sensing,2002
Antalya,Turkey,SW Asia,595,95,185,370,595,909,6.89190384,7.177346254,4.865232522,4.328915221,15.83889501,33.36338521,69.196298,153.361805,183.254102,7.734431172,7.567549497,8.283786799,1.796688251,5997.893156,5545.000869,5347.106864,3879.714379,4960.325527,"Sonmez, NK & I Onur","Journal of Food, Agriculture, & Environment",2012
Arequipa,Peru,CS Am,267,274,428,564,678,732,4.56218361,2.787147501,1.86345573,0.764700688,51.76436596,55.98973123,60.56,65.46332156,70.76364712,0.78774961,0.78774961,0.781592617,0.781592617,5295.399545,7648.348914,9308.470938,10357.38768,10340.04082,"Carpio, OV & BD Fath",American Journal of Environmental Sciences,2011
Asansol,India,India,379,235,356,727,1065,1232,4.240914694,7.401028745,3.89185954,1.467301369,60.030597,100.637808,168.713437,277.85604,452.980522,5.302540902,5.302540846,5.115562071,5.00886602,3914.670381,3537.437938,4309.081795,3832.920098,2719.763743,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Asmara,Eritrea,Africa,15,201,252,358,449,670,2.287001665,3.573403705,2.290742593,4.083729695,3.482222,7.416072,15.710245,31.726,63.270052,7.852880418,7.795567199,7.281104527,7.146573523,57721.76501,33980.25262,22787.67772,14152.43018,10589.5282,"Tewolde, MG & P Cabral",Remote Sensing,2012
Astrakhan,Russian Federation,Europe,320,413,467,505,506,520,1.236397619,0.785359612,0.019784357,0.273294192,144.924685,153.484618,162.544819,172.089123, ,0.575511338,0.575182051,0.572218216, ,2849.756065,3042.650176,3106.835414,2940.336909, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Asuncion,Paraguay,CS Am,268,552,770,1091,1499,2040,3.378250287,3.544425872,3.23109152,3.127334761,251.8395825,310.7459429,382.9333552,470.4630478,578,2.124077767,2.110822158,2.079899093,2.079899093,2192.935656,2477.628486,2848.299803,3186.314009,3528.776817,"Inostroza, L, Baur, R, & E Csaplovics",Journal of Environmental Management,2013
Aswan,Egypt,Africa,16,134,160,201,235,285,1.789157188,2.30753184,1.57508174,1.947762791,9.694424,11.420296,13.439214,15.79, ,1.651908066,1.6411689,1.625062583, ,13822.37872,14010.14475,14956.23182,14882.83724, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Atlanta,United States of America,N Am,479,1182,1625,2184,3522,4544,3.233403509,3.000109345,4.895098986,2.58071961,1392.848043,1503.684335,1623.057138,1751.193228, ,0.768615969,0.76685714,0.762753325, ,848.7207241,1080.722837,1345.594033,2011.248641, ,"Hu, Z & CP Lo","Computers, Environment and Urban Systems",2007
Atlanta,United States of America,N Am,484,1182,1625,2184,3522,4544,3.233403509,3.000109345,4.895098986,2.58071961,105.7301709,306.5912316,889.0384128,2375,2925,11.23362215,11.23362215,10.32509467,2.104815674,11180.71587,5300.432082,2456.559771,1482.983158,1553.571966,"Li, Q, Lu, L, Weng, Q, Xie, Y, & H Guo",Remote Sensing,2016
Atlanta,United States of America,N Am,483,1182,1625,2184,3522,4544,3.233403509,3.000109345,4.895098986,2.58071961,1480.001138,1733.89234,2031.338064,2379.81,2781.19,1.595859279,1.595859279,1.595859279,1.570791655,798.7419534,937.2358149,1075.141572,1479.985797,1633.904192,"Liu, T & X Yang",Applied,2015
Atlanta,United States of America,N Am,482,1182,1625,2184,3522,4544,3.233403509,3.000109345,4.895098986,2.58071961,208.116998,301.5226535,436.85,624.58, ,3.77703046,3.77703046,3.639563055, ,5680.165539,5389.532034,4999.372782,5639.125492, ,"Tang, Y & C Pannell",GIScience and Remote Sensing,2009
Atlanta,United States of America,N Am,481,1182,1625,2184,3522,4544,3.233403509,3.000109345,4.895098986,2.58071961,836.1990866,1741.876258,2558.920989,3876.387408, ,7.614492289,3.921153268,4.240630553, ,1413.705204,932.9399794,853.4753552,908.5998454, ,"Yang, XJ",Photogrammetric Engineering and Remote Sensing,2002
Augustu-Richmond County in Georgia-South Carolina,United States of America,N Am,485,151,252,288,337,388,5.264442441,1.329715739,1.589731866,1.428868981,38.22808176,81.1036605,172.0673244,350,475,7.811675381,7.811675381,7.358630747,3.100923772,3947.54309,3108.034809,1671.845604,962.3314286,817.1747368,"Li, Q, Lu, L, Weng, Q, Xie, Y, & H Guo",Remote Sensing,2016
Aurangabad,India,India,380,159,303,568,868,1167,6.660729679,6.485523604,4.331905407,3.004242608,278.61995,335.556694,403.443305,477.568843,557.523808,1.876817499,1.859528281,1.701029035,1.560011939,570.6698318,902.9770689,1407.880594,1817.539006,2093.184153,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Avignon,France,Europe,321,185,308,380,410,442,5.229594973,2.122935031,0.762753325,0.754358277,51.21629,59.25415,68.510402,79.096539,91.318433,1.468459202,1.462083061,1.447207409,1.447207527,3612.131999,5197.948161,5546.602982,5183.539067,4840.205701,"Marraccini, E, Debolini, M, Moulery, M, Abrantes, P, Bouchier, A, Chery, JP, Sanz Sanz, E, Sabbatini, T, & C Napoleone",Applied Geography,2015
Bacolod,Philippines,SE Asia,558,188,264,365,430,513,3.453361748,3.292524956,1.652381832,1.780572868, , ,10.44164444,32.94, , , ,10.76790739, , , ,30811.21194,13054.03764, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Baku,Azerbaijan,SW Asia,596,1274,1574,1733,1806,2062,2.137101722,0.966983975,0.413456827,1.334444592,57.456366,77.904563,105.440203,141.685021, ,3.091408709,3.072861666,2.998706466, ,22173.34803,20204.20806,16435.85607,12746.58385, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Baltimore City,United States of America,N Am,486,1555,1749,1849,2079,2207,1.1855332,0.55675107,1.18231642,0.596887701,581.1989233,695.5919088,832.5,993.2, ,1.812938483,1.812938483,1.78065628, ,2674.709016,2514.380886,2220.821622,2093.665928, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Bamako,Mali,Africa,18,222,489,746,1142,1933,8.217024482,4.314095539,4.350065894,5.403874447,27.539961,46.467247,77.591164,127.555779, ,5.370335345,5.260767522,5.096629262, ,8061.013594,10523.54145,9614.496826,8952.945989, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Bamako,Mali,Africa,17,222,489,746,1142,1933,8.217024482,4.314095539,4.350065894,5.403874447,33.576683,58.332782,101.341561,175.552348,296.29416,5.678706736,5.678706775,5.648152128,5.373558097,6611.731123,8382.936374,7361.244416,6505.182147,6523.922037,"Hou, H, Estoque, RC, & Y Murayama",Journal of African Earth Sciences,2016
Bandar Abbas,Iran (Islamic Republic of),SC Asia,546,49,119,237,309,420,9.278591353,7.132228382,2.688311621,3.116717825,6.920644,11.060868,17.677949,28.25365,45.156185,4.800720881,4.80072009,4.800720504,4.800720466,7080.265941,10758.64932,13406.53262,10936.64004,9301.051451,"Dadras, M, Mohd Shafri, HZ, Ahmad, N, Pradhan, B, & S Safarpour",Scientific World Journal,2014
Bandar Abbas,Iran (Islamic Republic of),SC Asia,547,49,119,237,309,420,9.278591353,7.132228382,2.688311621,3.116717825,4.128966,11.568659,13.869151,16.490626,20.807593,10.85216291,1.830220849,1.746323775,2.352503601,11867.37793,10286.41263,17088.28464,18737.91814,20184.93922,"Dadras, M, Shafri, HZM, Ahmad, N, Pradhan, B,& S  Safarpour",Egyptian Journal of Remote Sensing and Space Science,2015
Bandung,Indonesia,SE Asia,559,1170,1452,2035,2138,2399,2.182865049,3.433156819,0.494970891,1.158470605,34.74476268,59.8088749,102.9536897,172.814352, ,5.315862549,5.315862549,5.315862549, ,33674.13992,24277.33346,19766.16871,12371.65765, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Bandung,Indonesia,SE Asia,560,1170,1452,2035,2138,2399,2.182865049,3.433156819,0.494970891,1.158470605,265.245005,310.200271,362.774816,424.26,494.97,1.577962168,1.577962142,1.577962131,1.5534493,4411.016147,4680.846975,5609.540437,5039.362655,4846.758389,"Schneider, A, Mertes, CM, Tatem, AJ, Tan, B, Sulla-Menashe, D, Graves, SJ, Patel, NN, Horton, JA, Gaughan, AE, Rollo, JT, Schelly, IH, Stevens, FR, & A Dastur",Environmental Research Letters,2015
Bangalore,India,India,381,1615,2812,4036,5567,8275,5.702261459,3.679664724,3.268294921,4.043434065,63.304655,141.397398,315.825498,705.428435,1372.613606,8.367879946,8.367879962,8.367879962,6.883221172,25511.55203,19887.21179,12779.20885,7891.658067,6028.644889,"Alex, EC, Ramesh, KV, & H Sridevi",International Journal of Civil Engineering and Technology,2015
Bangalore,India,India,383,1615,2812,4036,5567,8275,5.702261459,3.679664724,3.268294921,4.043434065,54.514861,124.16249,282.791218,616.455295,1310.561331,8.579428249,8.579428262,8.104448833,7.833965484,29624.94942,22647.74168,14272.01321,9030.662962,6314.088326,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Bangalore,India,India,384,1615,2812,4036,5567,8275,5.702261459,3.679664724,3.268294921,4.043434065,42.890759,85.730762,162.376899,240.914898,336.807813,7.171002996,6.595471745,4.024093862,3.40745508,37653.79857,32800.36167,24855.75242,23107.74488,24568.90749,"Kumar, U, Mukhopadhyay, C, & TV  Ramachandra",Boletin Geologico y Minero,2014
Bangalore,India,India,382,1615,2812,4036,5567,8275,5.702261459,3.679664724,3.268294921,4.043434065,81.00487,121.952836,183.6,272, ,4.176095826,4.176095772,4.008689111, ,19937.07292,23058.09436,21982.57081,20466.91176, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Banjul,Gambia,Africa,19,62,123,228,331,438,7.090597629,6.366035779,3.798078669,2.840602345,18.130062,25.468726,35.618382,49.48, ,3.457217354,3.410990184,3.341687824, ,3419.734582,4829.452404,6401.189139,6689.571544, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Barcelona,Spain,Europe,323,3482,3837,4101,4355,4934,0.975567636,0.667619058,0.602746892,1.256077287,295.692409,404.332576,552.88816,751.016, ,3.178653445,3.17865344,3.11009571, ,11775.75039,9489.712746,7417.413316,5798.81121, ,"Catalan, B, Sauri, D, & P Serra",Landscape and Urban Planning,2008
Barcelona,Spain,Europe,322,3482,3837,4101,4355,4934,0.975567636,0.667619058,0.602746892,1.256077287,1158.947742,1165.675328,1172.441966,1351.493171,1743.617033,0.057898007,0.057897999,1.431360344,2.580243286,3004.449531,3291.654123,3497.827713,3222.361824,2829.749828,"Nello, O, Lopez, J, Martin, J, & J Checa",Land Use Policy,2017
Bauchi,Nigeria,Africa,20,57,104,190,284,412,6.197880302,6.211618329,4.101376936,3.790567746,1.138332,2.947864,7.633889,19.768979,47.129847,9.982566483,9.982563914,9.982563961,9.076496219,50073.26509,35279.78224,24889.0179,14365.94171,8741.80644,"Kafi, KM, Shafri, HZM, & ABM Shariff",IOP Conference Series: Earth and Environmental Science,2015
Bayrut (Beirut),Lebanon,SW Asia,597,923,1623,1293,1487,1990,5.808474929,-2.251333884,1.40932584,2.960139367, , ,85.0198966,199.4903156,155.0991473, , ,8.903070427,-2.485598569, , ,15202.66492,7452.421917,12832.19821,"Faour, G & M Mhawej",Land,2014
Beijing,China,China,61,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,1247.859627,1873.334083,2812.32,4155.509605,5486.014884,4.146564908,4.146564907,3.981470644,2.816607302,3546.873305,2864.411665,2413.665586,2445.42811,2951.140371,"Hao, P, Niu, Z, Zhan, Y, Wu, Y, Wang, L, & Y Liu",GIScience and Remote Sensing,2016
Beijing,China,China,68,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,1218.965734,1829.957478,2747.2014,4059.289769,5358.987515,4.14656491,4.146564909,3.981470642,2.816607303,3630.947021,2932.308572,2470.878182,2503.393593,3021.093062,"Hao, P, Niu, Z, Zhan, Y, Wu, Y, Wang, L, & Y Liu",GIScience and Remote Sensing,2016
Beijing,China,China,65,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,230.205566,506.626129,1114.960163,2331.88, ,8.207453443,8.207453477,7.65759772, ,19226.29447,10591.6369,6088.109894,4357.85718, ,"He, CY, Okada, N, Zhang, QF, Shi, PJ, & JS Zhang",Applied Geography,2006
Beijing,China,China,70,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647, ,168.7289092,540.27,988.97,1913.22, ,12.3419959,6.232457074,6.821378828, ,31802.49328,12564.08833,10275.33697,8462.173718,"Hu, X, Zhou, W, Qian, Y, & W Yu",Landscape Ecology,2017
Beijing,China,China,60,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,2006.849233,2528.533565,3185.830747,4013.993599,5033.738818,2.337640024,2.337640027,2.337640023,2.289581136,2205.447189,2122.178671,2130.68444,2531.6433,3216.297187,"Jian, P, Yanxu, L, Hong, S, Pan, X, Xiaoxu, H, & W Yanglin",Chinese Geographical Science,2016
Beijing,China,China,63,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,155.940353,258.717381,422.75,659.71,920.43817,5.192968121,5.033007456,4.550700047,3.386576687,28382.64705,20740.77891,16056.77114,15403.73801,17589.44873,"Kuang, W, Chi, W, Lu, D, & Y Dou",Landscape and Urban Planning,2014
Beijing,China,China,59,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,335.73522,593.794865,1031,1377.52,2292.392285,5.867815896,5.672558563,2.939943317,5.225040728,13183.00773,9036.790845,6583.899127,7377.025379,7062.491052,"Li, X, Gong, P, & L Liang",Remote Sensing of Environment,2015
Beijing,China,China,58,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,188.309626,321.82339,550,914.674368,1521.144,5.505356293,5.505356288,5.218082263,5.21808227,23503.84361,16673.74146,12341.81818,11109.96477,10643.3053,"Ou, J, Liu, X, Li, X, Chen, Y, & J Li",Journal of Urban Planning and Development,2017
Beijing,China,China,69,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,513.948379,784.248118,1196.706003,1826.086956,2739.130435,4.316593955,4.316593952,4.316593958,4.137974403,8611.75982,6842.222349,5672.236943,5564.904763,5910.63492,"Schneider, A, Mertes, CM, Tatem, AJ, Tan, B, Sulla-Menashe, D, Graves, SJ, Patel, NN, Horton, JA, Gaughan, AE, Rollo, JT, Schelly, IH, Stevens, FR, & A Dastur",Environmental Research Letters,2015
Beijing,China,China,64,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,606.089678,943.902446,1470,2246.7,3433.782918,4.529535946,4.529535935,4.333259396,4.333259394,7302.549706,5684.909519,4617.687075,4523.078293,4714.916576,"Shi, Y, Xiao, J, Shen, Y, & Y Yamaguchi",International Journal of Remote Sensing,2012
Beijing,China,China,57,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,222.996275,346.021907,536.92,817.869821,1245.83,4.491412194,4.491412181,4.298355339,4.298355331,19847.86517,15507.68865,12642.47933,12424.96023,12995.3525,"Wang, S, Liu, X, Zhou, C, Hu, J, & J Ou",Applied Energy,2017
Beijing,China,China,66,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,1134.555881,1189.070709,1246.095674,1624.261262, ,0.470411027,0.469530025,2.685813926, ,3901.085944,4512.767794,5447.414787,6256.382663, ,"Wu, Q, Li, HQ, Wang, RS, Paulussen, J, He, Y, Wang, M, Wang, BH, & Z Wang",Landscape and Urban Planning,2006
Beijing,China,China,56,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,539.850869,803.6,1178.135937,1727.23281,2460,4.058272632,3.899999999,3.899999999,3.599682109,8198.560481,6677.451468,5761.644125,5883.399123,6581.300813,"Wu, W, Zhao, S, Zhu, C, J Jiang",Landscape and Urban Planning,2015
Beijing,China,China,67,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,607.101018,945.248566,1471.74,2248.86, ,4.527004957,4.527004965,4.330942959, ,7290.384745,5676.81369,4612.227703,4518.733936, ,"Xie, YC, Fang, CL, Line, GCS, Gong, HM, & B Qiao",Sensors,2007
Beijing,China,China,55,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,153.681902,255.526514,421.514334,695.326412,1147.004454,5.215887866,5.132656361,5.132656384,5.132656368,28799.74768,20999.77774,16103.84144,14614.71882,14115.02801,"Zhang, Z, Li, N, Wang, X, Liu, F, L Yang",Remote Sensing,2016
Beijing,China,China,62,4426,5366,6788,10162,16190,1.94452951,2.378583531,4.117500988,4.767544647,2346.392719,2466.237197,2591.689844,2853.727,3404.734,0.499387317,0.497398191,0.967810758,1.781085033,1886.29975,2175.78423,2619.140564,3560.957303,4755.143867,"Zhao, J, Guo, W, Huang, W, Huang, L, Zhang, D, Yang, H, & L Yuan",Arabian Journal of Geosciences,2014
