UrbanAgg,Country,Region,OID,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,PopR7080,PopR8090,PopR9000,PopR0010,Area1970,Area1980,Area1990,Area2000,Area2010,ArR7080,ArR8090,ArR9000,ArR0010,PD1970,PD1980,PD1990,PD2000,PD2010,Authors,Journal,Year
Coimbatore,India,India,394,710,907,1088,1420,2095,2.479003531,1.836194256,2.698936174,3.96557702,19.374554,44.178753,100.738433,219.829087,467.805732,8.592085536,8.592085499,8.115757753,7.844509189,36646.00486,20530.2309,10800.24741,6459.563743,4478.354703,"Gibson, J, Boe-Gibson, G, & G Stichbury",Food Policy,2015
Colombo,Sri Lanka,SC Asia,548,554,586,614,644,686,0.563130682,0.467842367,0.478177617,0.633789013,26.50893,50.961314,97.969083,182.390443,296.893877,6.754168427,6.754168586,6.412170961,4.992896322,20898.61794,11498.91857,6267.283322,3530.886758,2310.589922,"Subasinghe, S, Estoque, RC, & Y Murayama",ISPRS International Journal of Geo-Information,2016
Columbia in South Carolina,United States of America,N Am,494,243,312,330,423,553,2.530914751,0.562470626,2.513873275,2.716089349,36.682319,87.76327,209.975588,475,650,9.115287504,9.115287419,8.505681836,3.186284478,6624.444872,3555.017948,1571.611267,890.5263158,850.7692308,"Li, Q, Lu, L, Weng, Q, Xie, Y, & H Guo",Remote Sensing,2016
Cordoba,Argentina,CS Am,279,810,1010,1200,1348,1459,2.228992403,1.744904515,1.165082271,0.799566076, , ,274.7299891,313.9438356,358.7549079, , ,1.343194333,1.343194333, , ,4368.536555,4292.363305,4067.590346,"Inostroza, L, Baur, R, & E Csaplovics",Journal of Environmental Management,2013
Curitiba,Brazil,CS Am,280,651,1310,1829,2494,3118,7.243018851,3.393739023,3.149772478,2.258158178,223.937443,280.799526,352.1,439.3, ,2.288536637,2.288536621,2.237334417, ,2907.061862,4665.25004,5194.547004,5677.213749, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Dallas-Fort Worth,United States of America,N Am,495,2025,2468,3219,4168,5149,1.99808377,2.692229363,2.61732121,2.136158222,396.352156,614.964102,954.153624,1456, ,4.490511228,4.490511208,4.316812206, ,5109.092935,4013.242386,3373.670569,2862.637363, ,"Qiu, F, Woller, KL, & R Biggs",Photogrammetric Engineering and Remote Sensing,2003
Daqing,China,China,93,370,529,757,1082,1421,3.63952045,3.648738511,3.636595574,2.762978091,817.2943817,876.5025492,940,1025.25, ,0.701854157,0.701854157,0.87189797, ,452.7132552,603.5350388,805.3191489,1055.352353, ,"Tang J, Wang, L, & S Zhang",International Journal of Remote Sensing,2005
Daqing,China,China,96,370,529,757,1082,1421,3.63952045,3.648738511,3.636595574,2.762978091,33.78399005,54.66352569,86.69,125.94, ,4.929757671,4.719397864,3.805285825, ,10951.93313,9677.385302,8732.26439,8591.392727, ,"Tang, J, Wang, L, & Z Yao",International Journal of Remote Sensing,2007
Daqing,China,China,92,370,529,757,1082,1421,3.63952045,3.648738511,3.636595574,2.762978091,15.43262136,36.122105,79.55,148.07, ,8.876295335,8.214813007,6.410060286, ,23975.1881,14644.77222,9516.027656,7307.35463, ,"Tang, J, Wang, L, & Z Yao",Landscape and Urban Planning,2008
Daqing,China,China,95,370,529,757,1082,1421,3.63952045,3.648738511,3.636595574,2.762978091,549.973114,588.961463,715.554431,860.466309,1198.76681,0.6872645,1.966046217,1.861277711,3.371325223,672.7601597,898.1911946,1057.920917,1257.457716,1185.384837,"Yu, W, Zang, S, Wu, C, Liu, W, & X Na",Applied Geography,2011
